idx,job,query,pages,note,result,found,new,pass,review,conflict,uid_rate,bad_field,duration,sample_source
1,A,Python 大模型,3,FDE基线,COMPLETED,60,60,0,16,44,0/60,0,51.1,https://rd6.zhaopin.com/app/search
2,B,销售,3,销售基线,COMPLETED,60,60,30,2,28,0/60,2,30.8,https://rd6.zhaopin.com/app/search
3,A,Python 大模型,3,同岗位重复1,COMPLETED,60,3,0,16,44,0/60,0,31.9,https://rd6.zhaopin.com/app/search
4,A,Python 大模型,4,同岗位重复2,COMPLETED,80,22,0,26,54,0/80,0,41.1,https://rd6.zhaopin.com/app/search
5,B,销售,3,同岗位重复1,COMPLETED,60,13,29,2,29,0/60,2,32.7,https://rd6.zhaopin.com/app/search
6,B,销售,4,同岗位重复2,COMPLETED,80,20,35,5,40,0/80,5,42.0,https://rd6.zhaopin.com/app/search
7,A,AI 工程师,3,A换词,COMPLETED,60,60,0,43,17,0/60,0,33.7,https://rd6.zhaopin.com/app/search
8,B,大客户销售,3,B换词,COMPLETED,60,59,35,4,21,0/60,2,32.2,https://rd6.zhaopin.com/app/search
9,A,Java,4,A扩词,COMPLETED,80,80,0,43,37,0/80,0,41.8,https://rd6.zhaopin.com/app/search
10,B,销售,5,B加深5页,COMPLETED,100,26,45,7,48,0/100,7,50.3,https://rd6.zhaopin.com/app/search
11,A,Python 大模型,5,A加深5页,COMPLETED,100,33,0,30,70,0/100,0,49.7,https://rd6.zhaopin.com/app/search
12,B,渠道销售,3,B换词2,COMPLETED,60,58,28,2,30,0/60,1,33.3,https://rd6.zhaopin.com/app/search
13,A,算法工程师,3,A换词2,COMPLETED,60,60,1,37,22,0/60,0,34.5,https://rd6.zhaopin.com/app/search
14,B,销售,3,跨岗位:同词销售在B第3次,COMPLETED,60,5,31,1,28,0/60,1,33.6,https://rd6.zhaopin.com/app/search
15,A,销售,3,跨岗位:销售词挂到A,COMPLETED,60,3,0,31,29,0/60,1,33.3,https://rd6.zhaopin.com/app/search
16,B,Python,3,跨岗位:Python词挂到B,COMPLETED,60,47,1,54,5,0/60,0,34.4,https://rd6.zhaopin.com/app/search
17,A,Python 大模型,3,同岗位重复3,COMPLETED,60,9,0,15,45,0/60,0,34.7,https://rd6.zhaopin.com/app/search
18,B,大客户销售,3,B换词重复,COMPLETED,60,18,32,4,24,0/60,2,33.4,https://rd6.zhaopin.com/app/search
19,A,Python 大模型,3,断点续搜start_page=2,COMPLETED,40,1,0,10,30,0/40,0,27.9,https://rd6.zhaopin.com/app/search
20,B,销售,3,收官,COMPLETED,60,4,31,1,28,0/60,1,34.0,https://rd6.zhaopin.com/app/search
